gcc -Wall -gdwarf-4 -o  systemsim systemsim.c -lpthread -lrt -lm
./systemsim RR 5 10 20 fixed 50 10 100 0.7 0.2 0.1 0.6 5 300 0
Scheduler: ready_queue.count: 1, MAXP: 5
Scheduler: ready_queue.count: 2, MAXP: 5
Scheduler: ready_queue.count: 3, MAXP: 5
Scheduler: ready_queue.count: 4, MAXP: 5
Scheduler: ready_queue.count: 5, MAXP: 5
Generator thread exited allp_count
         pid,          arv,         dept,          cpu,        waitr,        turna,     n-bursts,         n-d1,         n-d2
           1,            0,          249,           50,          197,          249,           10,            0,            0
           2,            0,          528,          100,          416,          528,           20,            1,            0
           3,            0,          260,           50,          208,          260,           10,            0,            0
           4,            1,          533,          100,          420,          532,           20,            1,            0
           5,            1,          828,          150,          636,          827,           30,            1,            1
           6,          256,          512,           50,          205,          256,           10,            0,            0
           7,          261,         1059,          150,          627,          798,           30,            2,            0
           8,          516,          769,           50,          202,          253,           10,            0,            0
           9,          537,          791,           50,          201,          254,           10,            0,            0
          10,          542,          807,           50,          213,          265,           10,            0,            0
          11,          772,         1037,           50,          213,          265,           10,            0,            0
          12,          792,         1608,          150,          634,          816,           30,            1,            1
          13,          808,         1340,          100,          416,          532,           20,            1,            0
          14,          828,         1372,          100,          423,          544,           20,            0,            1
          15,         1042,         1302,           50,          209,          260,           10,            0,            0
          16,         1063,         1313,           50,          199,          250,           10,            0,            0
          17,         1304,         1566,           50,          212,          262,           10,            0,            0
          18,         1330,         2409,          200,          841,         1079,           40,            3,            0
          19,         1340,         1603,           50,          211,          263,           10,            0,            0
          20,         1376,         1641,           50,          214,          265,           10,            0,            0
          21,         1570,         2114,          100,          422,          544,           20,            0,            1
          22,         1606,         1862,           50,          203,          256,           10,            0,            0
          23,         1611,         1873,           50,          212,          262,           10,            0,            0
          24,         1642,         1905,           50,          209,          263,           10,            0,            0
          25,         1867,         2651,          150,          610,          784,           30,            2,            0
          26,         1887,         2151,           50,          214,          264,           10,            0,            0
          27,         1907,         2167,           50,          209,          260,           10,            0,            0
          28,         2117,         2641,          100,          403,          524,           20,            0,            1
          29,         2152,         2414,           50,          211,          262,           10,            0,            0
          30,         2168,         2425,           50,          204,          257,           10,            0,            0
          31,         2433,         2689,           50,          205,          256,           10,            0,            0
          32,         2438,         2694,           50,          205,          256,           10,            0,            0
          33,         2443,         3784,          250,         1031,         1341,           50,            3,            1
          34,         2647,         2909,           50,          212,          262,           10,            0,            0
          35,         2652,         3193,          100,          430,          541,           20,            1,            0
          36,         2693,         2946,           50,          202,          253,           10,            0,            0
          37,         2703,         2963,           50,          209,          260,           10,            0,            0
          38,         2918,         3709,          150,          607,          791,           30,            1,            1
          39,         2948,         3204,           50,          205,          256,           10,            0,            0
          40,         2964,         3509,          100,          422,          545,           20,            0,            1
          41,         3198,         3450,           50,          200,          252,           10,            0,            0
          42,         3224,         3488,           50,          214,          264,           10,            0,            0
          43,         3454,         3720,           50,          216,          266,           10,            0,            0
          44,         3490,         4307,          150,          632,          817,           30,            1,            1
          45,         3510,         3779,           50,          219,          269,           10,            0,            0
          46,         3719,         3962,           50,          191,          243,           10,            0,            0
          47,         3725,         3978,           50,          201,          253,           10,            0,            0
          48,         3791,         4046,           50,          203,          255,           10,            0,            0
          49,         3811,         4074,           50,          213,          263,           10,            0,            0
          50,         3964,         4773,          150,          625,          809,           30,            1,            1
          51,         3980,         4248,           50,          217,          268,           10,            0,            0
          52,         4055,         4312,           50,          205,          257,           10,            0,            0
          53,         4082,         4333,           50,          200,          251,           10,            0,            0
          54,         4251,         5051,          150,          627,          800,           30,            2,            0
          55,         4317,         4580,           50,          213,          263,           10,            0,            0
          56,         4328,         4585,           50,          207,          257,           10,            0,            0
          57,         4338,         4596,           50,          208,          258,           10,            0,            0
          58,         4583,         4843,           50,          209,          260,           10,            0,            0
          59,         4593,         5121,          100,          414,          528,           20,            1,            0
          60,         4598,         4864,           50,          213,          266,           10,            0,            0
          61,         4777,         5040,           50,          212,          263,           10,            0,            0
          62,         4848,         5105,           50,          207,          257,           10,            0,            0
          63,         4879,         5411,          100,          422,          532,           20,            1,            0
          64,         5046,         5315,           50,          219,          269,           10,            0,            0
          65,         5057,         5326,           50,          216,          269,           10,            0,            0
          66,         5109,         5369,           50,          209,          260,           10,            0,            0
          67,         5124,         5658,          100,          421,          534,           20,            1,            0
          68,         5323,         5583,           50,          210,          260,           10,            0,            0
          69,         5328,         5594,           50,          216,          266,           10,            0,            0
          70,         5374,         5642,           50,          216,          268,           10,            0,            0
          71,         5415,         5674,           50,          209,          259,           10,            0,            0
          72,         5583,         5851,           50,          218,          268,           10,            0,            0
          73,         5599,         5857,           50,          205,          258,           10,            0,            0
          74,         5655,         5916,           50,          211,          261,           10,            0,            0
          75,         5660,         6179,          100,          405,          519,           20,            1,            0
          76,         5675,         5932,           50,          207,          257,           10,            0,            0
          77,         5864,         6120,           50,          204,          256,           10,            0,            0
          78,         5875,         6666,          150,          605,          791,           30,            1,            1
          79,         5936,         6468,          100,          407,          532,           20,            0,            1
          80,         5951,         6211,           50,          211,          260,           10,            0,            0
          81,         6125,         6383,           50,          207,          258,           10,            0,            0
          82,         6181,         6441,           50,          210,          260,           10,            0,            0
          83,         6216,         6473,           50,          206,          257,           10,            0,            0
          84,         6385,         6651,           50,          214,          266,           10,            0,            0
          85,         6456,         6704,           50,          197,          248,           10,            0,            0
          86,         6482,         6742,           50,          209,          260,           10,            0,            0
          87,         6487,         7014,          100,          417,          527,           20,            1,            0
          88,         6660,         6913,           50,          202,          253,           10,            0,            0
          89,         6670,         6935,           50,          213,          265,           10,            0,            0
          90,         6711,         6978,           50,          217,          267,           10,            0,            0
          91,         6742,         7009,           50,          217,          267,           10,            0,            0
          92,         6920,         7187,           50,          217,          267,           10,            0,            0
          93,         6941,         7208,           50,          216,          267,           10,            0,            0
          94,         6981,         7246,           50,          215,          265,           10,            0,            0
          95,         7011,         7278,           50,          216,          267,           10,            0,            0
          96,         7016,         7824,          150,          634,          808,           30,            2,            0
          97,         7190,         7456,           50,          215,          266,           10,            0,            0
          98,         7211,         7472,           50,          208,          261,           10,            0,            0
          99,         7247,         7792,          100,          423,          545,           20,            0,            1
         100,         7288,         7541,           50,          202,          253,           10,            0,            0
         101,         7456,         7723,           50,          214,          267,           10,            0,            0
         102,         7477,         7733,           50,          206,          256,           10,            0,            0
         103,         7543,         7803,           50,          207,          260,           10,            0,            0
         104,         7731,         7990,           50,          208,          259,           10,            0,            0
         105,         7737,         8000,           50,          212,          263,           10,            0,            0
         106,         7793,         8059,           50,          216,          266,           10,            0,            0
         107,         7803,         8613,          150,          634,          810,           30,            2,            0
         108,         7839,         8103,           50,          212,          264,           10,            0,            0
         109,         7992,         8254,           50,          211,          262,           10,            0,            0
         110,         8001,         8264,           50,          212,          263,           10,            0,            0
         111,         8062,         8328,           50,          215,          266,           10,            0,            0
         112,         8109,         8662,          100,          431,          553,           20,            0,            1
         113,         8257,         8516,           50,          209,          259,           10,            0,            0
         114,         8267,         8522,           50,          203,          255,           10,            0,            0
         115,         8329,         8592,           50,          212,          263,           10,            0,            0
         116,         8517,         8775,           50,          204,          258,           10,            0,            0
         117,         8522,         8780,           50,          207,          258,           10,            0,            0
         118,         8604,         9144,          100,          419,          540,           20,            0,            1
         119,         8614,         8870,           50,          206,          256,           10,            0,            0
         120,         8681,         8940,           50,          209,          259,           10,            0,            0
         121,         8783,         9030,           50,          198,          247,           10,            0,            0
         122,         8798,         9864,          200,          810,         1066,           40,            2,            1
         123,         8885,         9139,           50,          202,          254,           10,            0,            0
         124,         8946,         9208,           50,          212,          262,           10,            0,            0
         125,         9042,         9573,          100,          410,          531,           20,            0,            1
         126,         9139,         9670,          100,          409,          531,           20,            0,            1
         127,         9150,         9407,           50,          206,          257,           10,            0,            0
         128,         9221,         9477,           50,          206,          256,           10,            0,            0
         129,         9410,        10235,          150,          642,          825,           30,            1,            1
         130,         9482,         9735,           50,          201,          253,           10,            0,            0
         131,         9574,        11179,          300,         1228,         1605,           60,            3,            2
         132,         9671,         9939,           50,          217,          268,           10,            0,            0
         133,         9742,        10002,           50,          210,          260,           10,            0,            0
         134,         9875,        10395,          100,          409,          520,           20,            1,            0
         135,         9941,        10203,           50,          209,          262,           10,            0,            0
         136,        10012,        10540,          100,          417,          528,           20,            1,            0
         137,        10207,        10448,           50,          189,          241,           10,            0,            0
         138,        10258,        10524,           50,          216,          266,           10,            0,            0
         139,        10400,        10954,          100,          428,          554,           20,            0,            1
         140,        10451,        10707,           50,          205,          256,           10,            0,            0
         141,        10528,        11345,          150,          624,          817,           30,            0,            2
         142,        10543,        10804,           50,          209,          261,           10,            0,            0
         143,        10712,        10965,           50,          202,          253,           10,            0,            0
         144,        10819,        11350,          100,          419,          531,           20,            1,            0
         145,        10957,        11222,           50,          213,          265,           10,            0,            0
         146,        10967,        11227,           50,          210,          260,           10,            0,            0
         147,        11181,        11441,           50,          209,          260,           10,            0,            0
         148,        11227,        11489,           50,          211,          262,           10,            0,            0
         149,        11237,        11500,           50,          213,          263,           10,            0,            0
         150,        11350,        11607,           50,          205,          257,           10,            0,            0
         151,        11355,        11612,           50,          205,          257,           10,            0,            0
         152,        11441,        11703,           50,          210,          262,           10,            0,            0
         153,        11503,        11762,           50,          209,          259,           10,            0,            0
         154,        11513,        11778,           50,          215,          265,           10,            0,            0
         155,        11610,        11875,           50,          215,          265,           10,            0,            0
         156,        11615,        11881,           50,          216,          266,           10,            0,            0
         157,        11707,        11966,           50,          209,          259,           10,            0,            0
         158,        11763,        12030,           50,          216,          267,           10,            0,            0
         159,        11783,        12040,           50,          207,          257,           10,            0,            0
         160,        11885,        12143,           50,          207,          258,           10,            0,            0
         161,        11896,        12159,           50,          212,          263,           10,            0,            0
         162,        11967,        12224,           50,          206,          257,           10,            0,            0
         163,        12032,        12300,           50,          216,          268,           10,            0,            0
         164,        12048,        12588,          100,          429,          540,           20,            1,            0
         165,        12151,        12685,          100,          423,          534,           20,            1,            0
         166,        12161,        12423,           50,          210,          262,           10,            0,            0
         167,        12227,        12771,          100,          423,          544,           20,            0,            1
         168,        12309,        12567,           50,          208,          258,           10,            0,            0
         169,        12426,        12674,           50,          197,          248,           10,            0,            0
         170,        12574,        12835,           50,          211,          261,           10,            0,            0
         171,        12589,        12856,           50,          217,          267,           10,            0,            0
         172,        12681,        12948,           50,          217,          267,           10,            0,            0
         173,        12686,        13229,          100,          430,          543,           20,            1,            0
         174,        12773,        13034,           50,          209,          261,           10,            0,            0
         175,        12840,        13375,          100,          421,          535,           20,            1,            0
         176,        12865,        13127,           50,          211,          262,           10,            0,            0
         177,        12952,        13219,           50,          216,          267,           10,            0,            0
         178,        13038,        13305,           50,          216,          267,           10,            0,            0
         179,        13131,        13664,          100,          412,          533,           20,            0,            1
         180,        13222,        13760,          100,          415,          538,           20,            0,            1
         181,        13238,        13498,           50,          207,          260,           10,            0,            0
         182,        13309,        13568,           50,          207,          259,           10,            0,            0
         183,        13375,        13889,          100,          403,          514,           20,            1,            0
         184,        13503,        14033,          100,          416,          530,           20,            1,            0
         185,        13570,        13835,           50,          213,          265,           10,            0,            0
         186,        13672,        13932,           50,          210,          260,           10,            0,            0
         187,        13779,        14038,           50,          206,          259,           10,            0,            0
         188,        13845,        14109,           50,          214,          264,           10,            0,            0
         189,        13891,        14146,           50,          204,          255,           10,            0,            0
         190,        13947,        14205,           50,          208,          258,           10,            0,            0
         191,        14038,        14296,           50,          206,          258,           10,            0,            0
         192,        14053,        14589,          100,          423,          536,           20,            1,            0
         193,        14115,        14371,           50,          205,          256,           10,            0,            0
         194,        14151,        14939,          150,          601,          788,           30,            1,            1
         195,        14207,        14993,          150,          612,          786,           30,            2,            0
         196,        14309,        14858,          100,          426,          549,           20,            0,            1
         197,        14386,        14648,           50,          212,          262,           10,            0,            0
         198,        14590,        15123,          100,          419,          533,           20,            1,            0
         199,        14662,        14922,           50,          209,          260,           10,            0,            0
         200,        14876,        15414,          100,          427,          538,           20,            1,            0
         201,        14927,        15193,           50,          214,          266,           10,            0,            0
         202,        14948,        15209,           50,          211,          261,           10,            0,            0
         203,        14999,        15257,           50,          207,          258,           10,            0,            0
         204,        15127,        15376,           50,          199,          249,           10,            0,            0
         205,        15219,        15473,           50,          203,          254,           10,            0,            0
         206,        15225,        15755,          100,          415,          530,           20,            1,            0
         207,        15261,        15517,           50,          205,          256,           10,            0,            0
         208,        15378,        15641,           50,          212,          263,           10,            0,            0
         209,        15434,        15967,          100,          420,          533,           20,            1,            0
         210,        15476,        15745,           50,          216,          269,           10,            0,            0
         211,        15527,        15788,           50,          211,          261,           10,            0,            0
         212,        15644,        17003,          250,         1036,         1359,           50,            1,            3
         213,        15752,        16014,           50,          210,          262,           10,            0,            0
         214,        15767,        16036,           50,          217,          269,           10,            0,            0
         215,        15793,        16052,           50,          209,          259,           10,            0,            0
         216,        15972,        16237,           50,          214,          265,           10,            0,            0
         217,        16017,        16285,           50,          217,          268,           10,            0,            0
         218,        16038,        16844,          150,          619,          806,           30,            1,            1
         219,        16053,        16323,           50,          220,          270,           10,            0,            0
         220,        16238,        17035,          150,          614,          797,           30,            1,            1
         221,        16289,        16827,          100,          418,          538,           20,            0,            1
         222,        16330,        16581,           50,          201,          251,           10,            0,            0
         223,        16585,        16838,           50,          202,          253,           10,            0,            0
         224,        16840,        17101,           50,          210,          261,           10,            0,            0
         225,        16846,        17106,           50,          210,          260,           10,            0,            0
         226,        16856,        17680,          150,          642,          824,           30,            1,            1
         227,        17008,        17272,           50,          214,          264,           10,            0,            0
         228,        17038,        17562,          100,          412,          524,           20,            1,            0
         229,        17101,        17353,           50,          202,          252,           10,            0,            0
         230,        17106,        17659,          100,          431,          553,           20,            0,            1
         231,        17284,        17541,           50,          204,          257,           10,            0,            0
         232,        17356,        17610,           50,          201,          254,           10,            0,            0
         233,        17544,        17804,           50,          210,          260,           10,            0,            0
         234,        17565,        17820,           50,          204,          255,           10,            0,            0
         235,        17611,        17863,           50,          201,          252,           10,            0,            0
         236,        17688,        17944,           50,          205,          256,           10,            0,            0
         237,        17693,        17960,           50,          211,          267,           10,            0,            0
         238,        17805,        18599,          150,          621,          794,           30,            2,            0
         239,        17820,        18090,           50,          219,          270,           10,            0,            0
         240,        17872,        18139,           50,          218,          267,           10,            0,            0
         241,        17948,        18492,          100,          423,          544,           20,            0,            1
         242,        17969,        18230,           50,          210,          261,           10,            0,            0
         243,        18091,        18354,           50,          212,          263,           10,            0,            0
         244,        18142,        18396,           50,          201,          254,           10,            0,            0
         245,        18234,        18498,           50,          214,          264,           10,            0,            0
         246,        18357,        18884,          100,          412,          527,           20,            1,            0
         247,        18397,        18647,           50,          200,          250,           10,            0,            0
         248,        18515,        18771,           50,          205,          256,           10,            0,            0
         249,        18525,        18787,           50,          211,          262,           10,            0,            0
         250,        18612,        18873,           50,          211,          261,           10,            0,            0
         251,        18647,        19184,          100,          415,          537,           20,            0,            1
         252,        18775,        19028,           50,          201,          253,           10,            0,            0
         253,        18791,        19049,           50,          208,          258,           10,            0,            0
         254,        18883,        19141,           50,          204,          258,           10,            0,            0
         255,        18893,        19152,           50,          208,          259,           10,            0,            0
         256,        19035,        19292,           50,          205,          257,           10,            0,            0
         257,        19066,        19324,           50,          206,          258,           10,            0,            0
         258,        19148,        19416,           50,          216,          268,           10,            0,            0
         259,        19153,        19421,           50,          216,          268,           10,            0,            0
         260,        19200,        20011,          150,          639,          811,           30,            2,            0
         261,        19297,        20367,          200,          836,         1070,           40,            3,            0
         262,        19327,        19588,           50,          209,          261,           10,            0,            0
         263,        19419,        19680,           50,          210,          261,           10,            0,            0
         264,        19425,        19691,           50,          215,          266,           10,            0,            0
         265,        19593,        19846,           50,          203,          253,           10,            0,            0
         266,        19685,        19948,           50,          213,          263,           10,            0,            0
         267,        19705,        19964,           50,          208,          259,           10,            0,            0
         268,        19848,        20114,           50,          215,          266,           10,            0,            0
         269,        19950,        20479,          100,          419,          529,           20,            1,            0
         270,        19976,        20244,           50,          218,          268,           10,            0,            0
         271,        20015,        20281,           50,          215,          266,           10,            0,            0
         272,        20119,        20651,          100,          422,          532,           20,            1,            0
         273,        20246,        21317,          200,          833,         1071,           40,            3,            0
         274,        20282,        20544,           50,          211,          262,           10,            0,            0
         275,        20369,        20635,           50,          214,          266,           10,            0,            0
         276,        20486,        21011,          100,          414,          525,           20,            1,            0
         277,        20553,        20808,           50,          204,          255,           10,            0,            0
         278,        20644,        20910,           50,          215,          266,           10,            0,            0
         279,        20665,        20926,           50,          209,          261,           10,            0,            0
         280,        20813,        21071,           50,          205,          258,           10,            0,            0
         281,        20925,        21183,           50,          208,          258,           10,            0,            0
         282,        20931,        21194,           50,          211,          263,           10,            0,            0
         283,        21011,        21274,           50,          212,          263,           10,            0,            0
         284,        21074,        21338,           50,          213,          264,           10,            0,            0
         285,        21191,        21456,           50,          215,          265,           10,            0,            0
         286,        21201,        21467,           50,          215,          266,           10,            0,            0
         287,        21277,        21537,           50,          208,          260,           10,            0,            0
         288,        21318,        21579,           50,          211,          261,           10,            0,            0
         289,        21339,        21601,           50,          210,          262,           10,            0,            0
         290,        21466,        21724,           50,          207,          258,           10,            0,            0
         291,        21471,        21729,           50,          207,          258,           10,            0,            0
         292,        21558,        21820,           50,          210,          262,           10,            0,            0
         293,        21589,        21848,           50,          208,          259,           10,            0,            0
         294,        21604,        21864,           50,          208,          260,           10,            0,            0
         295,        21732,        21994,           50,          211,          262,           10,            0,            0
         296,        21737,        22252,          100,          394,          515,           20,            0,            1
         297,        21829,        22290,          100,          336,          461,           20,            0,            1
         298,        21854,        22295,          100,          327,          441,           20,            1,            0
         299,        21865,        22134,           50,          219,          269,           10,            0,            0
         300,        21998,        22225,           50,          176,          227,           10,            0,            0
./systemsim RR 5 10 20 fixed 50 10 100 0.7 0.2 0.1 0.6 25 300 0
Scheduler: ready_queue.count: 1, MAXP: 25
Scheduler: ready_queue.count: 2, MAXP: 25
Scheduler: ready_queue.count: 3, MAXP: 25
Scheduler: ready_queue.count: 4, MAXP: 25
Scheduler: ready_queue.count: 5, MAXP: 25
Scheduler: ready_queue.count: 6, MAXP: 25
Scheduler: ready_queue.count: 7, MAXP: 25
Scheduler: ready_queue.count: 8, MAXP: 25
Scheduler: ready_queue.count: 9, MAXP: 25
Scheduler: ready_queue.count: 10, MAXP: 25
Generator thread exited allp_count
         pid,          arv,         dept,          cpu,        waitr,        turna,     n-bursts,         n-d1,         n-d2
           1,            0,         2884,          100,         2759,         2884,           20,            0,            1
           2,            0,         1295,           50,         1244,         1295,           10,            0,            0
           3,            0,         2915,          100,         2803,         2915,           20,            1,            0
           4,            0,         1341,           50,         1290,         1341,           10,            0,            0
           5,            0,         1348,           50,         1297,         1348,           10,            0,            0
           6,            0,         2962,          100,         2850,         2962,           20,            1,            0
           7,            0,         1381,           50,         1328,         1381,           10,            0,            0
           8,            0,         3000,          100,         2873,         3000,           20,            0,            1
           9,            0,         4614,          150,         4421,         4614,           30,            1,            1
          10,            0,         3012,          100,         2898,         3012,           20,            1,            0
          11,           16,         1470,           50,         1403,         1454,           10,            0,            0
          12,           21,         1495,           50,         1422,         1474,           10,            0,            0
          13,           31,         3106,          100,         2961,         3075,           20,            1,            0
          14,           42,         1539,           50,         1446,         1497,           10,            0,            0
          15,           47,         1546,           50,         1446,         1499,           10,            0,            0
          16,           58,         3156,          100,         2985,         3098,           20,            1,            0
          17,           63,         1577,           50,         1463,         1514,           10,            0,            0
          18,           73,         3200,          100,         3015,         3127,           20,            1,            0
          19,           78,         1634,           50,         1504,         1556,           10,            0,            0
          20,           89,         3238,          100,         3036,         3149,           20,            1,            0
          21,          115,         3264,          100,         3025,         3149,           20,            1,            0
          22,          120,         3276,          100,         3044,         3156,           20,            1,            0
          23,          141,         1709,           50,         1518,         1568,           10,            0,            0
          24,          167,         1740,           50,         1523,         1573,           10,            0,            0
          25,          172,         4963,          150,         4607,         4791,           30,            1,            1
          26,         1302,         7641,          200,         6104,         6339,           40,            3,            0
          27,         1343,         4531,          100,         3076,         3188,           20,            1,            0
          28,         1348,         2942,           50,         1541,         1594,           10,            0,            0
          29,         1394,         2981,           50,         1536,         1587,           10,            0,            0
          30,         1472,         7847,          200,         6129,         6375,           40,            2,            1
          31,         1498,         3088,           50,         1540,         1590,           10,            0,            0
          32,         1549,         3119,           50,         1517,         1570,           10,            0,            0
          33,         1564,         3150,           50,         1534,         1586,           10,            0,            0
          34,         1600,         3188,           50,         1535,         1588,           10,            0,            0
          35,         1636,         4824,          100,         3067,         3188,           20,            0,            1
          36,         1713,         4907,          100,         3070,         3194,           20,            0,            1
          37,         1749,         3334,           50,         1534,         1585,           10,            0,            0
          38,         2891,         4474,           50,         1533,         1583,           10,            0,            0
          39,         2917,         4500,           50,         1531,         1583,           10,            0,            0
          40,         2943,         6113,          100,         3057,         3170,           20,            1,            0
          41,         2979,         4563,           50,         1533,         1584,           10,            0,            0
          42,         2989,         4570,           50,         1529,         1581,           10,            0,            0
          43,         3019,         4595,           50,         1524,         1576,           10,            0,            0
          44,         3024,         4602,           50,         1526,         1578,           10,            0,            0
          45,         3091,         4671,           50,         1530,         1580,           10,            0,            0
          46,         3117,         7865,          150,         4575,         4748,           30,            2,            0
          47,         3127,         6311,          100,         3071,         3184,           20,            1,            0
          48,         3153,         4734,           50,         1529,         1581,           10,            0,            0
          49,         3158,         4740,           50,         1530,         1582,           10,            0,            0
          50,         3199,         4774,           50,         1524,         1575,           10,            0,            0
          51,         3215,         6393,          100,         3065,         3178,           20,            1,            0
          52,         3245,         4836,           50,         1538,         1591,           10,            0,            0
          53,         3276,         4856,           50,         1529,         1580,           10,            0,            0
          54,         3281,         4870,           50,         1537,         1589,           10,            0,            0
